Grupo,Equipa,Jogos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos
A,Arábia Saudita,3,1,0,2,2,7
B,Irã,3,1,1,1,2,2
E,Suíça,3,1,2,0,5,4
C,Dinamarca,3,1,2,0,2,1
E,Sérvia,3,1,0,2,2,4
A,Egito,3,0,0,3,2,6
B,Espanha,3,1,2,0,6,5
B,Marrocos,3,0,1,2,2,4
C,França,3,2,1,0,3,1
C,Austrália,3,0,1,2,2,5
D,Argentina,3,1,1,1,3,5
H,Senegal,3,1,1,1,4,4
D,Islândia,3,0,1,2,2,5
E,Brasil,3,2,1,0,5,1
B,Portugal,3,1,2,0,5,4
A,Uruguai,3,3,0,0,5,0
E,Costa Rica,3,0,1,2,2,5
F,Suécia,3,2,0,1,5,2
D,Nigéria,3,1,0,2,3,4
F,Coreia do Sul,3,1,0,2,3,3
C,Peru,3,1,0,2,2,2
F,México,3,2,0,1,3,4
D,Croácia,3,3,0,0,7,1
A,Rússia,3,2,0,1,8,4
F,Alemanha,3,1,0,2,2,4
H,Japão,3,1,1,1,4,4
